,Time step,RMSE,Average variance,Number of cells sampled,Average time to complete a task,Maximum visits to a cell,Total distance travelled,Total idle time,Total waiting times,"Robot (5, 19) distance travelled","Robot (5, 19) idle time","Robot (5, 19) waiting time","Robot (16, 15) distance travelled","Robot (16, 15) idle time","Robot (16, 15) waiting time","Robot (4, 16) distance travelled","Robot (4, 16) idle time","Robot (4, 16) waiting time"
119,120,0.011990559508723748,3.3990600901847765e-06,50,5.547953216374268,5.0,288,69,0,90,29,0,99,20,0,99,20,0
120,121,0.011993238522417866,3.2688729272495256e-06,51,5.615962984384037,5.0,289,71,0,90,30,0,100,20,0,99,21,0
121,122,0.011974368381011727,3.3276787036600283e-06,52,5.5457875457875465,5.0,291,72,0,91,30,0,100,21,0,100,21,0
122,123,0.011974368381011727,3.3276787036600283e-06,52,5.5457875457875465,5.0,294,72,0,92,30,0,101,21,0,101,21,0
123,124,0.011975318376322175,3.3756127741691075e-06,53,5.482295482295483,5.0,296,73,0,93,30,0,101,22,0,102,21,0
124,125,0.011830599391730518,2.9992425335895146e-06,54,5.388888888888889,5.0,298,74,0,93,31,0,102,22,0,103,21,0
125,126,0.011830599391730518,2.9992425335895146e-06,54,5.388888888888889,5.0,301,74,0,94,31,0,103,22,0,104,21,0
126,127,0.011830599391730518,2.9992425335895146e-06,54,5.388888888888889,5.0,304,74,0,95,31,0,104,22,0,105,21,0
127,128,0.011754382599442894,2.9601764347240835e-06,55,5.361471861471862,5.0,306,75,0,96,31,0,104,23,0,106,21,0
128,129,0.011754382599442894,2.9601764347240835e-06,55,5.361471861471862,5.0,309,75,0,97,31,0,105,23,0,107,21,0
129,130,0.011754382599442894,2.9601764347240835e-06,55,5.361471861471862,5.0,312,75,0,98,31,0,106,23,0,108,21,0
130,131,0.011754382599442894,2.9601764347240835e-06,55,5.321946169772257,5.0,314,76,0,99,31,0,106,24,0,109,21,0
131,132,0.011754382599442894,2.9601764347240835e-06,55,5.321946169772257,5.0,317,76,0,100,31,0,107,24,0,110,21,0
132,133,0.011757085798254827,2.7293958732728956e-06,58,5.375,5.0,317,79,0,100,32,0,107,25,0,110,22,0
133,134,0.011757085798254827,2.7293958732728956e-06,58,5.375,5.0,320,79,0,101,32,0,108,25,0,111,22,0
134,135,0.011757085798254827,2.7293958732728956e-06,58,5.317028985507246,5.0,322,80,0,102,32,0,109,25,0,111,23,0
135,136,0.011757085798254827,2.7293958732728956e-06,58,5.317028985507246,5.0,325,80,0,103,32,0,110,25,0,112,23,0
136,137,0.011758364503788225,2.7092531176308482e-06,59,5.240640096618357,5.0,327,81,0,103,33,0,111,25,0,113,23,0
137,138,0.011758364503788225,2.7092531176308482e-06,59,5.240640096618357,5.0,330,81,0,104,33,0,112,25,0,114,23,0
138,139,0.011758493509658088,2.6004166258099784e-06,60,5.215277777777778,5.0,332,82,0,105,33,0,113,25,0,114,24,0
139,140,0.011562220744906286,2.5825014202482576e-06,61,5.235833333333333,5.0,334,83,0,106,33,0,113,26,0,115,24,0
140,141,0.01156093522644241,2.5231535639336785e-06,62,5.168431372549019,5.0,336,84,0,106,34,0,114,26,0,116,24,0
141,142,0.01156050883930687,2.403694826106311e-06,63,5.123303167420815,5.0,338,85,0,107,34,0,114,27,0,117,24,0
142,143,0.01156050883930687,2.403694826106311e-06,63,5.123303167420815,5.0,341,85,0,108,34,0,115,27,0,118,24,0
143,144,0.011562713228057781,2.2838879260020925e-06,64,5.113303167420814,5.0,343,86,0,109,34,0,116,27,0,118,25,0
144,145,0.011273145029113005,2.3834573321607236e-06,65,5.0838634713144515,5.0,345,87,0,110,34,0,116,28,0,119,25,0
145,146,0.011273145029113005,2.3834573321607236e-06,65,5.0838634713144515,5.0,348,87,0,111,34,0,117,28,0,120,25,0
146,147,0.011279884702831611,2.343643724846257e-06,66,5.060987654320988,5.0,350,88,0,111,35,0,118,28,0,121,25,0
147,148,0.011279884702831611,2.343643724846257e-06,66,5.060987654320988,5.0,353,88,0,112,35,0,119,28,0,122,25,0
148,149,0.011293911627502436,2.366904908561813e-06,67,4.970344379467186,5.0,355,89,0,112,36,0,120,28,0,123,25,0
149,150,0.011310602802759355,2.358641268263366e-06,68,4.9668170426065155,5.0,357,90,0,113,36,0,120,29,0,124,25,0
150,151,0.011310602802759355,2.358641268263366e-06,68,4.9668170426065155,5.0,360,90,0,114,36,0,121,29,0,125,25,0
151,152,0.011319577426926438,2.275823805565116e-06,70,4.931135531135531,5.0,361,92,0,114,37,0,122,29,0,125,26,0
152,153,0.011319577426926438,2.275823805565116e-06,70,4.931135531135531,5.0,364,92,0,115,37,0,123,29,0,126,26,0
153,154,0.011053728070761284,2.169499651733549e-06,71,4.916357206012378,5.0,366,93,0,116,37,0,123,30,0,127,26,0
154,155,0.011053728070761284,2.169499651733549e-06,71,4.916357206012378,5.0,369,93,0,117,37,0,124,30,0,128,26,0
155,156,0.011053728070761284,2.169499651733549e-06,71,4.916357206012378,5.0,372,93,0,118,37,0,125,30,0,129,26,0
156,157,0.011048539932336041,2.037683579258772e-06,72,4.889373079028251,5.0,374,94,0,118,38,0,126,30,0,130,26,0
157,158,0.011048539932336041,2.037683579258772e-06,72,4.889373079028251,5.0,377,94,0,119,38,0,127,30,0,131,26,0
158,159,0.01104393055674131,2.035114536891494e-06,73,4.886691086691086,5.0,379,95,0,120,38,0,127,31,0,132,26,0
159,160,0.011041203009359752,2.0054964011791603e-06,74,4.913756613756614,5.0,381,96,0,121,38,0,128,31,0,132,27,0
160,161,0.011041203009359752,2.0054964011791603e-06,74,4.913756613756614,5.0,384,96,0,122,38,0,129,31,0,133,27,0
161,162,0.010983949457843558,1.985082964319711e-06,75,4.889742276839051,5.0,386,97,0,123,38,0,129,32,0,134,27,0
162,163,0.010983949457843558,1.985082964319711e-06,75,4.889742276839051,5.0,389,97,0,124,38,0,130,32,0,135,27,0
163,164,0.01098373894889796,1.73081790203394e-06,76,4.895514282611057,6.0,391,98,0,124,39,0,131,32,0,136,27,0
164,165,0.010983740249160085,1.7324325561971824e-06,77,4.873000841750842,6.0,393,99,0,125,39,0,131,33,0,137,27,0
165,166,0.010986311666215902,1.7231624669528452e-06,78,4.874323593073593,6.0,395,100,0,126,39,0,132,33,0,137,28,0
166,167,0.010986311666215902,1.7231624669528452e-06,78,4.874323593073593,6.0,398,100,0,127,39,0,133,33,0,138,28,0
167,168,0.010986311666215902,1.7231624669528452e-06,78,4.874323593073593,6.0,401,100,0,128,39,0,134,33,0,139,28,0
168,169,0.010986192638240182,1.7069619411046632e-06,79,4.863275613275614,6.0,403,101,0,129,39,0,134,34,0,140,28,0
169,170,0.01097682041753115,1.713045468640396e-06,80,4.841518634622083,6.0,405,102,0,130,39,0,135,34,0,140,29,0
170,171,0.01097723503840928,1.6984960062587584e-06,81,4.811512692851435,6.0,407,103,0,131,39,0,135,35,0,141,29,0
171,172,0.010982293720482221,1.6723609785925815e-06,82,4.831275538701238,6.0,409,104,0,131,40,0,136,35,0,142,29,0
172,173,0.010979740943383574,1.6567421887483908e-06,83,4.802984222174627,6.0,411,105,0,132,40,0,136,36,0,143,29,0
173,174,0.010975555095819524,1.6241458657016402e-06,84,4.782677708764665,6.0,413,106,0,133,40,0,137,36,0,143,30,0
174,175,0.010965151165937395,1.6100631245988115e-06,86,4.704629629629629,6.0,414,108,0,133,41,0,137,37,0,144,30,0
175,176,0.010965943516996719,1.606478156918757e-06,87,4.6641278375149335,6.0,416,109,0,134,41,0,138,37,0,144,31,0
176,177,0.010965943516996719,1.606478156918757e-06,87,4.6641278375149335,6.0,419,109,0,135,41,0,139,37,0,145,31,0
177,178,0.01096257014653004,1.5989758695691696e-06,88,4.647861571248669,6.0,421,110,0,136,41,0,139,38,0,146,31,0
178,179,0.01096257014653004,1.5989758695691696e-06,88,4.647861571248669,6.0,424,110,0,137,41,0,140,38,0,147,31,0
179,180,0.01096257014653004,1.5989758695691696e-06,88,4.647861571248669,6.0,427,110,0,138,41,0,141,38,0,148,31,0
180,181,0.010962119688743874,1.5363505067240536e-06,89,4.640639349026446,6.0,429,111,0,138,42,0,142,38,0,149,31,0
181,182,0.010938855143448889,1.5093880403687845e-06,90,4.644335585585585,6.0,431,112,0,139,42,0,143,38,0,149,32,0
182,183,0.01093792079420661,1.4776347405436783e-06,91,4.646469298245614,6.0,433,113,0,140,42,0,143,39,0,150,32,0
183,184,0.01093792079420661,1.4776347405436783e-06,91,4.646469298245614,6.0,436,113,0,141,42,0,144,39,0,151,32,0
184,185,0.01093792079420661,1.4776347405436783e-06,91,4.646469298245614,6.0,439,113,0,142,42,0,145,39,0,152,32,0
185,186,0.010816934440369196,1.3876638929974812e-06,92,4.626982118758435,6.0,441,114,0,142,43,0,146,39,0,153,32,0
186,187,0.011064064195484492,1.3693788478805452e-06,93,4.620353330879647,6.0,443,115,0,143,43,0,147,39,0,153,33,0
187,188,0.011061248976517214,1.3655975729318656e-06,94,4.6223776223776225,6.0,445,116,0,144,43,0,147,40,0,154,33,0
188,189,0.011055226992871878,1.3308930694211342e-06,95,4.57964257964258,6.0,447,117,0,144,44,0,148,40,0,155,33,0
189,190,0.011055226992871878,1.3308930694211342e-06,95,4.57964257964258,6.0,450,117,0,145,44,0,149,40,0,156,33,0
190,191,0.011035654429779178,1.3283418763620222e-06,96,4.563599798893916,6.0,452,118,0,146,44,0,150,40,0,156,34,0
191,192,0.010979515664107407,1.316129434723987e-06,97,4.55718954248366,6.0,454,119,0,147,44,0,150,41,0,157,34,0
192,193,0.010979515664107407,1.316129434723987e-06,97,4.55718954248366,6.0,457,119,0,148,44,0,151,41,0,158,34,0
193,194,0.009345002651147126,6.581819320524573e-06,98,4.541316526610644,6.0,459,120,0,148,45,0,152,41,0,159,34,0
194,195,0.009345002651147126,6.581819320524573e-06,98,4.526190476190476,6.0,461,121,0,149,45,0,153,41,0,159,35,0
195,196,0.009345002651147126,6.581819320524573e-06,98,4.526190476190476,6.0,464,121,0,150,45,0,154,41,0,160,35,0
196,197,0.009274758321909729,6.235008038837671e-06,99,4.528222996515679,6.0,466,122,0,151,45,0,154,42,0,161,35,0
197,198,0.009650283624130822,6.361853213167365e-06,101,4.47840544497399,6.0,467,124,0,151,46,0,155,42,0,161,36,0
198,199,0.009613677923871978,6.510857818382415e-06,102,4.456531654807517,6.0,469,125,0,152,46,0,155,43,0,162,36,0
199,200,0.009613677923871978,6.510857818382415e-06,102,4.456531654807517,6.0,472,125,0,153,46,0,156,43,0,163,36,0
200,201,0.009613677923871978,6.510857818382415e-06,102,4.456531654807517,6.0,475,125,0,154,46,0,157,43,0,164,36,0
201,202,0.009117949440921876,6.531519031829549e-06,104,4.418906115417744,6.0,476,127,0,154,47,0,157,44,0,165,36,0
202,203,0.009064579239579661,6.249976930958438e-06,105,4.414651861163489,6.0,478,128,0,155,47,0,158,44,0,165,37,0
203,204,0.009064579239579661,6.249976930958438e-06,105,4.414651861163489,6.0,481,128,0,156,47,0,159,44,0,166,37,0
204,205,0.009012014415329443,5.962892776351827e-06,106,4.384305725554196,6.0,483,129,0,157,47,0,160,44,0,166,38,0
205,206,0.009012014415329443,5.962892776351827e-06,106,4.361366657453837,7.0,485,130,0,157,48,0,161,44,0,167,38,0
206,207,0.009012014415329443,5.962892776351827e-06,106,4.332576733927071,7.0,487,131,0,158,48,0,162,44,0,167,39,0
207,208,0.009012014415329443,5.962892776351827e-06,106,4.332576733927071,7.0,490,131,0,159,48,0,163,44,0,168,39,0
